cord_uid,title,abstract_clean,journal,cluster,abstract_length
03lawpcu,Rhesus θ-Defensin-1 Attenuates Endotoxin-induced Acute Lung Injury by Inhibiting Proinflammatory Cytokines and Neutrophil Recruitment.,"acute lung injury (ali) is a clinical syndrome characterized by acute respiratory failure and is associated with substantial morbidity and mortality. rhesus θ-defensin (rtd)-1 is an antimicrobial peptide with immunomodulatory activity. as airway inflammation and neutrophil recruitment and activation are hallmarks of ali, we evaluated the therapeutic efficacy of rtd-1 in preclinical models of the disease. we investigated the effect of rtd-1 on neutrophil chemotaxis and macrophage-driven pulmonary inflammation with human peripheral neutrophils and lps-stimulated murine alveolar macrophage (denoted mh-s) cells. treatment and prophylactic single escalating doses were administered subcutaneously in a well-established murine model of direct endotoxin-induced ali. we assessed lung injury by histopathology, pulmonary edema, inflammatory cell recruitment, and inflammatory cytokines/chemokines in the bal fluid. in vitro studies demonstrated that rtd-1 suppressed cxcl8-induced neutrophil chemotaxis, tnf-mediated neutrophil-endothelial cell adhesion, and proinflammatory cytokine release in activated murine alveolar immortalized macrophages (mh-s) cells. treatment with rtd-1 significantly inhibited in vivo lps-induced ali by reducing pulmonary edema and histopathological changes. treatment was associated with dose- and time-dependent inhibition of proinflammatory cytokines (tnf, il-1β, and il-6), peroxidase activity, and neutrophil recruitment into the airways. antiinflammatory effects were demonstrated in animals receiving rtd-1 up to 12 hours after lps challenge. notably, subcutaneously administered rtd-1 demonstrates good peptide stability as demonstrated by the long in vivo half-life. taken together, these studies demonstrate that rtd-1 is efficacious in an experimental model of ali through inhibition of neutrophil chemotaxis and adhesion, and the attenuation of proinflammatory cytokines and gene expression from alveolar macrophages.",American journal of respiratory cell and molecular biology,0,1958
00vuaip4,The potential of putative zinc-binding motifs of haemagglutinin (HA) protein for categorization and prediction of pathogenicity of H5 subtypes of avian influenza virus,"in the present study, we used the potential of bioinformatics and computational analysis to predict the existence and biological relevance of zinc finger (zf) motifs in heamagglutinin (ha) protein of avian influenza (ai) virus. sequence data of avian influenza (ai) viruses were retrieved from accessible databases (genbank, gisaid, ird) and analyzed for the existence, as well as functional prediction of the putative zinc finger or ''zinc-binding'' motif(s) of ha protein. it is hypothesized that the zf motif(s) in ha of ai virus can be used as a ''novel'' biomarker for categorization of the virus and/or its virulence. as a model for analysis, we used the h5 subtypes of highly pathogenic, non-pathogenic and low pathogenic avian influenza (hpai, npai and lpai) viruses of h5n1 and h5n2 of avian and human origins. interestingly, our method of characterization using the zinc-finger agrees with the existing classification in distinguishing between highly pathogenic and non-pathogenic or low pathogenic subtypes. the new method also clearly distinguished between low and non-pathogenic strains of h5n2 and h5n1 which are indistinguishable by the existing method that utilizes the sequence of the polybasic amino acids of the proteolytic cleavage site for pathogenicity. it is hypothesized that zinc through the activities of zinc-binding proteins modulates the virulence property of the viral subtypes. our observation further revealed that only the ha protein among the eight encoded proteins of influenza viruses contain high numbers of cys-his residues. it is expected that the information gathered from the analysis of the data will be useful to generate more research hypotheses/designs that will give further insight towards the identification and control of avian influenza virus through the molecular manipulation of zinc finger motifs present in viral ha protein.",Med Hypotheses,0,1878
0e87kxyc,Drug Overdoses During the COVID‐19 Pandemic Among Recently Homeless Individuals,"aims: to examine how weekly rates of emergency department (ed) visits for drug overdoses changed among individuals with a recent history of homelessness (irhh) and their housed counterparts during the pre‐pandemic, peak, and re‐opening periods of the first wave of the covid‐19 pandemic, using corresponding weeks in 2019 as a historical control. design: population‐based retrospective cohort study conducted between september 30, 2018 and september 26, 2020. setting: ontario, canada. participants: a total of 38 617 irhh, 15 022 369 housed individuals, and 186 858 low‐income housed individuals matched on age, sex, rurality, and comorbidity burden. measurements: ed visits for drug overdoses of accidental and undetermined intent. findings: average rates of ed visits for drug overdoses between january and september 2020 were higher among irhh compared with housed individuals (rate ratio [rr], 148.0; 95% ci, 142.7–153.5) and matched housed individuals (rr, 22.3; 95% ci, 20.7–24.0). ed visits for drug overdoses decreased across all groups by ~20% during the peak period (march 17 to june 16, 2020) compared with corresponding weeks in 2019. during the re‐opening period (june 17 to september 26, 2020), rates of ed visits for drug overdoses were significantly higher among irhh (rr, 1.56; 95% ci, 1.44–1.69), matched housed individuals (rr, 1.25; 95% ci, 1.08–1.46), and housed individuals relative to equivalent weeks in 2019 (rr, 1.07; 95% ci, 1.02–1.11). the relative increase in drug overdose ed visits among irhh was larger compared with both matched housed individuals (p = 0.01 for interaction between group and year) and housed individuals (p < 0.001) during this period. conclusions: recently homeless individuals in ontario, canada experienced disproportionate increases in ed visits for drug overdoses during the re‐opening period of the covid‐19 pandemic compared with housed people.",Addiction,1,1902
0bezbmcx,Correction to: Discrimination of False Negative Results in RT-PCR Detection of SARS-CoV-2 RNAs in Clinical Specimens by Using an Internal Reference,"in the original version of fig. 4i and 4j, the cutoff lines were accidently shifted during figure layout. figures 4i and 4j are re-drawn and provided below.",Virol Sin,0,156
02v8btw8,High-Throughput Adaptable SARS-CoV-2 Screening for Rapid Identification of Dominant and Emerging Regional Variants,"aimsemerging sars-cov-2 variant strains are associated with increased transmissibility, more severe disease, and reduced effectiveness of treatments. genomic surveillance for identifying variants would better inform resource allocation and hotspot control. yet, the implementation of variant surveillance has been regionally variable and prohibitively slow. to improve the availability of variant surveillance, we describe a variant genotyping system that is rapid, accurate, adaptable, and able to detect new low-level variants built with existing hospital infrastructure. methodswe use a tiered high-throughput sars-cov-2 screening program to characterizes variants in a supra-regional health system over 76 days. combining targeted qpcr and selective sequencing, we screen positive sars-cov-2 samples from all hospitals within our health care system for genotyping dominant and emerging variants. resultsthe median turn-around for genotyping was two days using the high-throughput qpcr-based screen, allowing us to rapidly characterize the emerging delta variant. consistent with prior work, in our population, the delta variant is associated with a lower ct value (a surrogate for viral load), lower age at infection, and increased vaccine breakthrough cases. detection of low-level and potentially emerging variants highlights the utility of a tiered approach. conclusionsthese findings underscore the need for fast, low-cost, high-throughput monitoring of regional viral sequences as the pandemic unfolds and the emergence of sars-cov-2 variants increases. combing qpcr-based screening with selective sequencing allows for rapid genotyping of variants and dynamic system improvement. key messageso_lia tiered approach that uses qpcr-based screening to identify dominant variants and sequencing for unique variants maximizes throughput, turn-around time, and information gleaned from each sample. c_lio_liin our population, the delta variant became dominant in less than a month and is associated with lower ct, lower age at infection, and increased breakthrough cases. c_lio_liwe identified low-level variants, including the variant of interest b.1.621 and a delta variant with an e484k mutation in our population. c_lio_lithe tiered approach allows for dynamic feedback and iterative improvement, enabling adaptation to newly emerging variants with existing hospital infrastructure. c_li",,1,2394
082e459g,Time-Frequency Volatility Spillovers between Major International Financial Markets During the COVID-19 Pandemic,"we examine volatility spillovers and their time-frequency dynamics among major global financial markets from the outbreak of covid-19 to present. results show that total spillovers, driven by low frequency components, peaks at the end of march 2020 and then decline, which is not consistent with the upward trend of covid-19;stock markets of us and uk are net spillover transmitters, while other markets are net spillover receivers. the findings suggest that markets rally in the short term, but investors need to beware of bubbles and liquidity tightening expectations, and policymakers can gradually start to resume conventional monetary policy.",Finance Research Letters,0,647
0avilikk,The clinical course of COVID‐19 in pregnant versus non‐pregnant women requiring hospitalisation: results from the multicentre UK CA‐COVID‐19 study,"the impact of covid‐19 infection on pregnant women remains relatively unknown but the physiological changes of pregnancy and hypercoagulability of covid‐19 may further increase thrombotic risk. in this retrospective multicentre observational study, we report clinical characteristics and outcomes in 36 pregnant women requiring hospitalisation for covid‐19 compared to a propensity‐matched cohort of non‐pregnant women. pregnant women had a lower haemoglobin and higher lymphocyte counts but no differences in other haematological or biochemical parameters on admission compared to non‐pregnant women. there was no significant difference in the duration of hospitalisation; median two days (1–77) for pregnant versus eight days (1–49) for non‐pregnant women. a higher proportion of non‐pregnant women required mechanical ventilation [11/36 (31%) vs 3/36 (8%), p = 0·03] and received thromboprophylaxis with low‐molecular‐weight heparin (lmwh) within 24 h of admission [25/36 (69%) vs 15 /36(42%), p = 0·03] compared to pregnant women. one pregnant woman required extracorporeal membrane oxygenation. the rate of thrombosis was similar in both groups (one in each group). no women developed major bleeding or died. data suggest that although non‐pregnant women had a severe clinical course, overall outcomes were not different between women with or without pregnancy. the use of thromboprophylaxis was inconsistent, demonstrating a need for establishing evidence‐based guidance for covid‐19 during pregnancy.",Br J Haematol,3,1507
0jrnmyq9,Piercing the Pandemic Social Bubble: Disability and Social Media Use About COVID-19,"the covid-19 pandemic and the ensuing stay-at-home orders caused tremendous restrictions in social contacts, which led to increasing use of the internet for daily tasks and social interactions as prior research has established, people with disabilities (pwd) had already been using the internet for such purposes prior to the pandemic, especially for health-related content through a national survey administered during the first few weeks of the pandemic in the united states, we explore how people with and without disabilities used social media to exchange information and engage in activities about covid-19 findings reveal that pwd were more engaged with information about covid-19 than those without disabilities, even when controlling for sociodemographics and internet experiences and skills these differences are especially pronounced concerning more active engagement such as sharing information, interacting, and supporting others on social media although the content is about a health crisis in which pwd are disproportionately vulnerable, these effects largely remain when we enter controls for health status, belonging to high-risk groups for covid-19, and personal experiences with covid-19 findings highlight the benefits of universal design, both for pwd specifically, and for society more broadly, as the general population ramps up use of tools long fought for and used by pwd",American Behavioral Scientist,0,1395
01j2tyvu,Mining and statistical modeling of natural and variant class IIa bacteriocins elucidates activity and selectivity profiles across species.,"class iia bacteriocin antimicrobial peptides (amps) are a compelling alternative to current antimicrobials because of potential specific activity towards antibiotic-resistant bacteria, including vancomycin-resistant enterococci. engineering of these molecules would be enhanced by a better understanding of amp sequence-activity relationships to improve efficacy in vivo and limit effects of off-target activity. towards this goal, we experimentally evaluated 210 natural and variant class iia bacteriocins for antimicrobial activity against six strains of enterococci. inhibitory activity was ridge regressed to amp sequence to predict performance, achieving an area under the curve of 0.70 and demonstrating the potential of statistical models for identifying and designing amps. active amps were individually produced and evaluated against eight enterococci strains and four listeria strains to elucidate trends in susceptibility. it was determined that the mannose phosphotransferase system sequence is informative of susceptibility to class iia bacteriocins, yet other factors, such as membrane composition, also contribute strongly to susceptibility. a broadly potent bacteriocin variant (lactocin dt1) from a lactobacillus ruminis genome was identified as the only variant with inhibitory activity towards all tested strains, while a novel enterocin variant (dt2) from an e. faecium genome demonstrated specificity towards listeria strains. eight amps were evaluated for proteolytic stability to trypsin, chymotrypsin, and pepsin, and three c-terminal disulfide-containing variants, including divercin v41, were identified as compelling for future in vivo studies given high potency and proteolytic stability.importance class iia bacteriocin antimicrobial peptides (amps), an alternative to traditional small-molecule antibiotics, are capable of selective activity towards various gram-positive bacteria, limiting negative side effects associated with broad-spectrum activity. this selective activity is achieved through targeting of the mannose phosphotransferase system (manpts) of a subset of gram-positive bacteria, although factors affecting this mechanism are not entirely understood. peptides identified from genomic data, as well as variants of previously characterized amps, can offer insight into how peptide sequence affects activity and selectivity. the experimental methods presented here identify promising potent and selective bacteriocins for further evaluation, highlight the potential of simple computational modeling for prediction of amp performance, and demonstrate that factors beyond manpts sequence affect bacterial susceptibility to class iia bacteriocins.",Applied and environmental microbiology,1,2688
0lagx6jz,"Long-COVID Syndrome? A Study on the Persistence of Neurological, Psychological and Physiological Symptoms","background: emerging aspects of the covid-19 clinical presentation are its long-term effects, which are characteristic of the so-called “long covid”. the aim of the present study was to investigate the prevalence of physical, psychological, and sleep disturbances and the quality of life in the general population during the ongoing pandemic. methods: this study, based on an online survey, collected demographic data, information related to covid-19, sleep disturbances, and quality of life data from 507 individuals. the level of sleep disturbances and quality of life was assessed through the insomnia severity index (isi) and the euroqol-5d (eq-5d), respectively. results: in total, 507 individuals (m = 91 and f = 416 women) completed the online survey. the main symptoms associated with “long covid” were headache, fatigue, muscle aches/myalgia, articular pains, cognitive impairment, loss of concentration, and loss of smell. additionally, the subjects showed significant levels of insomnia (p &lt;0.05) and an overall reduced quality of life (p &lt;0.05). conclusions: the results of the study appear in line with recent publications, but uncertainty regarding the definition and specific features of “long covid” remains. further studies are needed in order to better define the clinical presentation of the “long covid” condition and related targeted treatments.",Healthcare,0,1372
0bzees0a,Dementia in Media Coverage: A Comparative Analysis of Two Online Newspapers across Time,"the news media, specifically online newspapers, is one of the powerful transmitters of discourse due to its rapid accessibility that contributes to social beliefs and attitudes that often shape our perceptions on dementia and alzheimer’s disease. the media portrayal of dementia is largely heterogeneous, but there is certainly an association between the influence of online news coverage and the social perceptions of dementia that need to be understood more broadly. in this study, we examined the portrayal of dementia in two online newspapers (the new york times and the guardian) that might have an influence on dementia discourse by comparing the content and form of the news coverage on dementia across time. this study was guided by three interconnected theoretical understandings: cultivation theory, agenda-setting theory, and spiral of silence theory. a total of 291 published articles featuring dementia from 2014 to 2019 were included in this study and a content analysis of the articles provided insight into the dementia-related news coverage. our results showed that both newspapers have a decreasing trend in publishing articles related to dementia over time. in addition, dementia-related (modifiable) risk factors as principal news content was significantly associated with the year of publication. despite a weak association between story categories and newspapers, the majority of articles reported preventive measures as the main story category. although both newspapers featured more articles with a less negative tone across time when reporting on dementia, derogative wording, as discourse, was commonly used to address the illness. we have provided some insight into understanding how online newspapers potentially affect subjective representations of dementia as well as perpetuate dementia discourse. finally, we suggest that future study may benefit from establishing a linkage between the depiction of dementia in online newspapers and the contextualization of dementia within cultures.",Int J Environ Res Public Health,0,2016
08er4piq,Severity of COVID-19 in bacillus Calmette-Guérin vaccinated population,"purpose: considering the cross-protection reported for bacillus calmette-guérin (bcg) vaccination on viral respiratory infections, it has been proposed that it could reduce the severity of coronavirus disease 2019 (covid-19). the objective of the current study is to investigate the association between the severity of covid-19 with prior bcg vaccination in adult patients with severe acute respiratory syndrome coronavirus 2 (sars-cov-2) infection. materials and methods: adult patients (18 years or above) with positive sars-cov-2 polymerase chain reaction admitted in july 2020 were included in this cross-sectional study. patients were classified into non-severe, severe, and critical diseases. history of prior bcg vaccination and the presence of a bcg vaccination scar were recorded. results: out of 103 patients, 64 patients with prior history of bcg vaccinations were compared with 39 patients without bcg vaccination in childhood. the median age was 55 years and 64 years in bcg vaccinated & non-bcg vaccinated patients (p-value=0.002). there was male predominance in both groups and frequent comorbid illnesses were hypertension and diabetes mellitus. severe covid-19 was found in 91 patients (88.3%) followed by non-severe disease and critical diseases i.e., 7 (6.8%) and 5 (4.9%) patients, respectively. no association of prior bcg vaccination with disease severity of covid-19 was found in this study and mortality was 8.7%. out of nine patients who expired only 2 (22.2%) had a prior history of bcg vaccination (p-value=0.01). secondary infections were present in 26 patients and the majority had pneumonia. conclusion: the bcg vaccine has no impact on the severity of covid-19 but could have a protective role with a low mortality rate in already infected patients.",Clin Exp Vaccine Res,0,1780
07eqeapx,Association of gynecological endoscopy surgeons of Nigeria (AGES) advisory on laparoscopic and hysteroscopic procedures during the COVID-19 Pandemic.,"coronavirus 2, or sars-cov-2 disease (covid-19) is a global public health concern. although there is a paucity of evidence to advise on the best practice, we recommend postponement of elective gynecological endoscopic surgeries until the pandemic is contained. emergency surgeries should preferably be done through open surgeries than laparoscopy or hysteroscopy approach. however, if or when laparoscopy or hysteroscopy is considered, health personnel in theatre must wear appropriate personal protective equipment (ppe) and all standard precautions should be observed to prevent covid-19 infection. when covid-19 is highly suspected or confirmed, the patient should be referred to centers equipped in taking care of such cases.",Nigerian journal of clinical practice,0,729
0fxzqfw1,Sensitive targeted quantification of ERK phosphorylation dynamics and stoichiometry in human cells without affinity enrichment.,"targeted mass spectrometry is a promising technology for site-specific quantification of posttranslational modifications. however, a major constraint is the limited sensitivity for quantifying low-abundance ptms, requiring the use of affinity reagents for enrichment. herein, we demonstrate the direct site-specific quantification of erk phosphorylation isoforms (pt, py, ptpy) and their relative stoichiometry using a sensitive targeted ms approach termed high-pressure, high-resolution separations with intelligent selection, and multiplexing (prism). prism provides effective enrichment of target peptides into a given fraction from complex mixture, followed by selected reaction monitoring quantification. direct quantification of erk phosphorylation in human mammary epithelial cells (hmec) was demonstrated from as little as 25 μg tryptic peptides from whole cell lysates. compared to immobilized metal-ion affinity chromatography, prism provided ∼10-fold higher signal intensities, presumably due to the better peptide recovery of prism. this approach was applied to quantify erk phosphorylation dynamics in hmec treated by different doses of epidermal growth factor at both the peak activation (10 min) and steady state (2 h). the maximal erk activation was observed with 0.3 and 3 ng/ml doses for 10 min and 2 h time points, respectively. the dose-response profiles of individual phosphorylated isoforms showed that singly phosphorylated pt-erk never increases significantly, while the increase of py-erk paralleled that of ptpy-erk. this data supports for a processive, rather than distributed model of erk phosphorylation. the prism-srm quantification of protein phosphorylation illustrates the potential for simultaneous quantification of multiple ptms.",Analytical chemistry,0,1765
0l151l5u,Dietetic-Led Nutrition Interventions in Patients with COVID-19 during Intensive Care and Ward-Based Rehabilitation: A Single-Center Observational Study,"background: in this study, a report of dietitian-led nutrition interventions for patients with covid-19 during icu and ward-based rehabilitation is provided. as knowledge of covid-19 and its medical treatments evolved through the course of the pandemic, dietetic-led interventions were compared between surge 1 (s1) and surge 2 (s2). methods: a prospective observational study was conducted of patients admitted to the icu service in a large academic hospital (london, uk). clinical and nutrition data were collected during the first surge (march–june 2020; n = 200) and the second surge (november 2020–march 2021; n = 253) of covid-19. results: a total of 453 patients were recruited. all required individualized dietetic-led interventions during icu admission as the icu nutrition protocol did not meet nutritional needs. feed adjustments for deranged renal function (p = 0.001) and propofol calories (p = 0.001) were more common in s1, whereas adjustment for gastrointestinal dysfunction was more common in s2 (p = 0.001). one-third of all patients were malnourished on icu admission, and all lost weight in icu, with a mean (sd) total percentage loss of 8.8% (6.9%). further weight loss was prevented over the remaining hospital stay with continued dietetic-led interventions. conclusions: covid-19 patients have complex nutritional needs due to malnutrition on admission and ongoing weight loss. disease complexity and evolving nature of medical management required multifaceted dietetic-led nutritional strategies, which differed between surges.",Nutrients,0,1551
06gq5hvq,Can CRISPR/Cas Technology Be a Felicitous Stratagem Against the COVID-19 Fiasco? Prospects and Hitches,"the current global debacle of covid-19, spelled by sars-cov-2 needs no elaboration with incessant and constantly clambering number of deaths across various nations, the need of the hour is to develop readily deployable, fast, affordable detection assays and kits, yielding precise and consistent results as well as timely availability of efficacious anti-sars-cov-2 strategies to contain it conventionally employed real time pcr based technique for detection of the virus suffers from a couple of handicaps amongst other approaches, crispr based technology has ushered in new hopes recent efforts have been directed toward developing crispr/cas based low-cost, rapid detection methods as well as development of one-pot assay platforms the plausible application of crispr-cas system to counteract the viral assault has also been assessed the write up in this article mirrors the current status, the prospects and the practical snags of crispr/cas technology for the detection and inactivation of the novel corona virus, sars-cov-2",Frontiers in Molecular Biosciences,0,1029
